FEBID	VMMID	ChannelID	Hirose_Pin	Correct_Hirose_Pin
0	0	0	69	133
0	0	1	67	131
0	0	2	70	134
0	0	3	68	132
0	0	4	65	129
0	0	5	63	127
0	0	6	66	130
0	0	7	64	128
0	0	8	61	125
0	0	9	59	123
0	0	10	62	126
0	0	11	60	124
0	0	12	57	121
0	0	13	55	119
0	0	14	58	122
0	0	15	56	120
0	0	16	53	117
0	0	17	51	115
0	0	18	54	118
0	0	19	52	116
0	0	20	49	113
0	0	21	47	111
0	0	22	50	114
0	0	23	48	112
0	0	24	45	109
0	0	25	43	107
0	0	26	46	110
0	0	27	44	108
0	0	28	41	105
0	0	29	39	103
0	0	30	42	106
0	0	31	40	104
0	0	32	37	101
0	0	33	35	99
0	0	34	38	102
0	0	35	36	100
0	0	36	33	97
0	0	37	31	95
0	0	38	34	98
0	0	39	32	96
0	0	40	29	93
0	0	41	27	91
0	0	42	30	94
0	0	43	28	92
0	0	44	25	89
0	0	45	23	87
0	0	46	26	90
0	0	47	24	88
0	0	48	21	85
0	0	49	19	83
0	0	50	22	86
0	0	51	20	84
0	0	52	17	81
0	0	53	15	79
0	0	54	18	82
0	0	55	16	80
0	0	56	13	77
0	0	57	11	75
0	0	58	14	78
0	0	59	12	76
0	0	60	9	73
0	0	61	7	71
0	0	62	10	74
0	0	63	8	72
0	1	0	133	69
0	1	1	131	67
0	1	2	134	70
0	1	3	132	68
0	1	4	129	65
0	1	5	127	63
0	1	6	130	66
0	1	7	128	64
0	1	8	125	61
0	1	9	123	59
0	1	10	126	62
0	1	11	124	60
0	1	12	121	57
0	1	13	119	55
0	1	14	122	58
0	1	15	120	56
0	1	16	117	53
0	1	17	115	51
0	1	18	118	54
0	1	19	116	52
0	1	20	113	49
0	1	21	111	47
0	1	22	114	50
0	1	23	112	48
0	1	24	109	45
0	1	25	107	43
0	1	26	110	46
0	1	27	108	44
0	1	28	105	41
0	1	29	103	39
0	1	30	106	42
0	1	31	104	40
0	1	32	101	37
0	1	33	99	35
0	1	34	102	38
0	1	35	100	36
0	1	36	97	33
0	1	37	95	31
0	1	38	98	34
0	1	39	96	32
0	1	40	93	29
0	1	41	91	27
0	1	42	94	30
0	1	43	92	28
0	1	44	89	25
0	1	45	87	23
0	1	46	90	26
0	1	47	88	24
0	1	48	85	21
0	1	49	83	19
0	1	50	86	22
0	1	51	84	20
0	1	52	81	17
0	1	53	79	15
0	1	54	82	18
0	1	55	80	16
0	1	56	77	13
0	1	57	75	11
0	1	58	78	14
0	1	59	76	12
0	1	60	73	9
0	1	61	71	7
0	1	62	74	10
0	1	63	72	8
1	0	0	69	133
1	0	1	67	131
1	0	2	70	134
1	0	3	68	132
1	0	4	65	129
1	0	5	63	127
1	0	6	66	130
1	0	7	64	128
1	0	8	61	125
1	0	9	59	123
1	0	10	62	126
1	0	11	60	124
1	0	12	57	121
1	0	13	55	119
1	0	14	58	122
1	0	15	56	120
1	0	16	53	117
1	0	17	51	115
1	0	18	54	118
1	0	19	52	116
1	0	20	49	113
1	0	21	47	111
1	0	22	50	114
1	0	23	48	112
1	0	24	45	109
1	0	25	43	107
1	0	26	46	110
1	0	27	44	108
1	0	28	41	105
1	0	29	39	103
1	0	30	42	106
1	0	31	40	104
1	0	32	37	101
1	0	33	35	99
1	0	34	38	102
1	0	35	36	100
1	0	36	33	97
1	0	37	31	95
1	0	38	34	98
1	0	39	32	96
1	0	40	29	93
1	0	41	27	91
1	0	42	30	94
1	0	43	28	92
1	0	44	25	89
1	0	45	23	87
1	0	46	26	90
1	0	47	24	88
1	0	48	21	85
1	0	49	19	83
1	0	50	22	86
1	0	51	20	84
1	0	52	17	81
1	0	53	15	79
1	0	54	18	82
1	0	55	16	80
1	0	56	13	77
1	0	57	11	75
1	0	58	14	78
1	0	59	12	76
1	0	60	9	73
1	0	61	7	71
1	0	62	10	74
1	0	63	8	72
1	1	0	133	69
1	1	1	131	67
1	1	2	134	70
1	1	3	132	68
1	1	4	129	65
1	1	5	127	63
1	1	6	130	66
1	1	7	128	64
1	1	8	125	61
1	1	9	123	59
1	1	10	126	62
1	1	11	124	60
1	1	12	121	57
1	1	13	119	55
1	1	14	122	58
1	1	15	120	56
1	1	16	117	53
1	1	17	115	51
1	1	18	118	54
1	1	19	116	52
1	1	20	113	49
1	1	21	111	47
1	1	22	114	50
1	1	23	112	48
1	1	24	109	45
1	1	25	107	43
1	1	26	110	46
1	1	27	108	44
1	1	28	105	41
1	1	29	103	39
1	1	30	106	42
1	1	31	104	40
1	1	32	101	37
1	1	33	99	35
1	1	34	102	38
1	1	35	100	36
1	1	36	97	33
1	1	37	95	31
1	1	38	98	34
1	1	39	96	32
1	1	40	93	29
1	1	41	91	27
1	1	42	94	30
1	1	43	92	28
1	1	44	89	25
1	1	45	87	23
1	1	46	90	26
1	1	47	88	24
1	1	48	85	21
1	1	49	83	19
1	1	50	86	22
1	1	51	84	20
1	1	52	81	17
1	1	53	79	15
1	1	54	82	18
1	1	55	80	16
1	1	56	77	13
1	1	57	75	11
1	1	58	78	14
1	1	59	76	12
1	1	60	73	9
1	1	61	71	7
1	1	62	74	10
1	1	63	72	8
2	0	0	69	133
2	0	1	67	131
2	0	2	70	134
2	0	3	68	132
2	0	4	65	129
2	0	5	63	127
2	0	6	66	130
2	0	7	64	128
2	0	8	61	125
2	0	9	59	123
2	0	10	62	126
2	0	11	60	124
2	0	12	57	121
2	0	13	55	119
2	0	14	58	122
2	0	15	56	120
2	0	16	53	117
2	0	17	51	115
2	0	18	54	118
2	0	19	52	116
2	0	20	49	113
2	0	21	47	111
2	0	22	50	114
2	0	23	48	112
2	0	24	45	109
2	0	25	43	107
2	0	26	46	110
2	0	27	44	108
2	0	28	41	105
2	0	29	39	103
2	0	30	42	106
2	0	31	40	104
2	0	32	37	101
2	0	33	35	99
2	0	34	38	102
2	0	35	36	100
2	0	36	33	97
2	0	37	31	95
2	0	38	34	98
2	0	39	32	96
2	0	40	29	93
2	0	41	27	91
2	0	42	30	94
2	0	43	28	92
2	0	44	25	89
2	0	45	23	87
2	0	46	26	90
2	0	47	24	88
2	0	48	21	85
2	0	49	19	83
2	0	50	22	86
2	0	51	20	84
2	0	52	17	81
2	0	53	15	79
2	0	54	18	82
2	0	55	16	80
2	0	56	13	77
2	0	57	11	75
2	0	58	14	78
2	0	59	12	76
2	0	60	9	73
2	0	61	7	71
2	0	62	10	74
2	0	63	8	72
2	1	0	133	69
2	1	1	131	67
2	1	2	134	70
2	1	3	132	68
2	1	4	129	65
2	1	5	127	63
2	1	6	130	66
2	1	7	128	64
2	1	8	125	61
2	1	9	123	59
2	1	10	126	62
2	1	11	124	60
2	1	12	121	57
2	1	13	119	55
2	1	14	122	58
2	1	15	120	56
2	1	16	117	53
2	1	17	115	51
2	1	18	118	54
2	1	19	116	52
2	1	20	113	49
2	1	21	111	47
2	1	22	114	50
2	1	23	112	48
2	1	24	109	45
2	1	25	107	43
2	1	26	110	46
2	1	27	108	44
2	1	28	105	41
2	1	29	103	39
2	1	30	106	42
2	1	31	104	40
2	1	32	101	37
2	1	33	99	35
2	1	34	102	38
2	1	35	100	36
2	1	36	97	33
2	1	37	95	31
2	1	38	98	34
2	1	39	96	32
2	1	40	93	29
2	1	41	91	27
2	1	42	94	30
2	1	43	92	28
2	1	44	89	25
2	1	45	87	23
2	1	46	90	26
2	1	47	88	24
2	1	48	85	21
2	1	49	83	19
2	1	50	86	22
2	1	51	84	20
2	1	52	81	17
2	1	53	79	15
2	1	54	82	18
2	1	55	80	16
2	1	56	77	13
2	1	57	75	11
2	1	58	78	14
2	1	59	76	12
2	1	60	73	9
2	1	61	71	7
2	1	62	74	10
2	1	63	72	8
3	0	0	69	133
3	0	1	67	131
3	0	2	70	134
3	0	3	68	132
3	0	4	65	129
3	0	5	63	127
3	0	6	66	130
3	0	7	64	128
3	0	8	61	125
3	0	9	59	123
3	0	10	62	126
3	0	11	60	124
3	0	12	57	121
3	0	13	55	119
3	0	14	58	122
3	0	15	56	120
3	0	16	53	117
3	0	17	51	115
3	0	18	54	118
3	0	19	52	116
3	0	20	49	113
3	0	21	47	111
3	0	22	50	114
3	0	23	48	112
3	0	24	45	109
3	0	25	43	107
3	0	26	46	110
3	0	27	44	108
3	0	28	41	105
3	0	29	39	103
3	0	30	42	106
3	0	31	40	104
3	0	32	37	101
3	0	33	35	99
3	0	34	38	102
3	0	35	36	100
3	0	36	33	97
3	0	37	31	95
3	0	38	34	98
3	0	39	32	96
3	0	40	29	93
3	0	41	27	91
3	0	42	30	94
3	0	43	28	92
3	0	44	25	89
3	0	45	23	87
3	0	46	26	90
3	0	47	24	88
3	0	48	21	85
3	0	49	19	83
3	0	50	22	86
3	0	51	20	84
3	0	52	17	81
3	0	53	15	79
3	0	54	18	82
3	0	55	16	80
3	0	56	13	77
3	0	57	11	75
3	0	58	14	78
3	0	59	12	76
3	0	60	9	73
3	0	61	7	71
3	0	62	10	74
3	0	63	8	72
3	1	0	133	69
3	1	1	131	67
3	1	2	134	70
3	1	3	132	68
3	1	4	129	65
3	1	5	127	63
3	1	6	130	66
3	1	7	128	64
3	1	8	125	61
3	1	9	123	59
3	1	10	126	62
3	1	11	124	60
3	1	12	121	57
3	1	13	119	55
3	1	14	122	58
3	1	15	120	56
3	1	16	117	53
3	1	17	115	51
3	1	18	118	54
3	1	19	116	52
3	1	20	113	49
3	1	21	111	47
3	1	22	114	50
3	1	23	112	48
3	1	24	109	45
3	1	25	107	43
3	1	26	110	46
3	1	27	108	44
3	1	28	105	41
3	1	29	103	39
3	1	30	106	42
3	1	31	104	40
3	1	32	101	37
3	1	33	99	35
3	1	34	102	38
3	1	35	100	36
3	1	36	97	33
3	1	37	95	31
3	1	38	98	34
3	1	39	96	32
3	1	40	93	29
3	1	41	91	27
3	1	42	94	30
3	1	43	92	28
3	1	44	89	25
3	1	45	87	23
3	1	46	90	26
3	1	47	88	24
3	1	48	85	21
3	1	49	83	19
3	1	50	86	22
3	1	51	84	20
3	1	52	81	17
3	1	53	79	15
3	1	54	82	18
3	1	55	80	16
3	1	56	77	13
3	1	57	75	11
3	1	58	78	14
3	1	59	76	12
3	1	60	73	9
3	1	61	71	7
3	1	62	74	10
3	1	63	72	8
