FEE_BoardID	VMM_ChipID	VMM_ChannelID	Hirose_Pin
0	0	0	69
0	0	1	67
0	0	2	70
0	0	3	68
0	0	4	65
0	0	5	63
0	0	6	66
0	0	7	64
0	0	8	61
0	0	9	59
0	0	10	62
0	0	11	60
0	0	12	57
0	0	13	55
0	0	14	58
0	0	15	56
0	0	16	53
0	0	17	51
0	0	18	54
0	0	19	52
0	0	20	49
0	0	21	47
0	0	22	50
0	0	23	48
0	0	24	45
0	0	25	43
0	0	26	46
0	0	27	44
0	0	28	41
0	0	29	39
0	0	30	42
0	0	31	40
0	0	32	37
0	0	33	35
0	0	34	38
0	0	35	36
0	0	36	33
0	0	37	31
0	0	38	34
0	0	39	32
0	0	40	29
0	0	41	27
0	0	42	30
0	0	43	28
0	0	44	25
0	0	45	23
0	0	46	26
0	0	47	24
0	0	48	21
0	0	49	19
0	0	50	22
0	0	51	20
0	0	52	17
0	0	53	15
0	0	54	18
0	0	55	16
0	0	56	13
0	0	57	11
0	0	58	14
0	0	59	12
0	0	60	9
0	0	61	7
0	0	62	10
0	0	63	8
0	1	0	133
0	1	1	131
0	1	2	134
0	1	3	132
0	1	4	129
0	1	5	127
0	1	6	130
0	1	7	128
0	1	8	125
0	1	9	123
0	1	10	126
0	1	11	124
0	1	12	121
0	1	13	119
0	1	14	122
0	1	15	120
0	1	16	117
0	1	17	115
0	1	18	118
0	1	19	116
0	1	20	113
0	1	21	111
0	1	22	114
0	1	23	112
0	1	24	109
0	1	25	107
0	1	26	110
0	1	27	108
0	1	28	105
0	1	29	103
0	1	30	106
0	1	31	104
0	1	32	101
0	1	33	99
0	1	34	102
0	1	35	100
0	1	36	97
0	1	37	95
0	1	38	98
0	1	39	96
0	1	40	93
0	1	41	91
0	1	42	94
0	1	43	92
0	1	44	89
0	1	45	87
0	1	46	90
0	1	47	88
0	1	48	85
0	1	49	83
0	1	50	86
0	1	51	84
0	1	52	81
0	1	53	79
0	1	54	82
0	1	55	80
