#N2 Reflective index data from 
# 145nm ~ 270nm:  https://refractiveindex.info/?shelf=main&book=N2&page=Griesmann
# 450nm ~ 2059nm: https://refractiveindex.info/?shelf=main&book=N2&page=Peck-0C 
# 
#
#
#LABEL: Lambda,   Reflective Index
145.0,  1.0004073239748
146.3,  1.0004042484761
147.5,  1.0004015317003
148.8,  1.0003987126888
150.0,  1.0003962183782
151.3,  1.000393626113
152.5,  1.000391328942
153.8,  1.0003889380706
155.0,  1.0003868163833
156.3,  1.0003846051623
157.5,  1.0003826403329
158.8,  1.0003805900101
160.0,  1.0003787659321
161.3,  1.0003768602501
162.5,  1.0003751629257
163.8,  1.0003733877218
165.0,  1.0003718049285
166.3,  1.0003701478091
167.5,  1.0003686688283
168.8,  1.0003671189018
170.0,  1.0003657342947
171.3,  1.0003642819517
172.5,  1.000362983375
173.8,  1.0003616201057
175.0,  1.0003604001577
176.3,  1.0003591183996
177.5,  1.0003579704915
178.8,  1.0003567635019
180.0,  1.0003556817499
181.3,  1.0003545434982
182.5,  1.000353522632
183.8,  1.0003524477087
185.0,  1.0003514829941
186.3,  1.0003504665331
187.5,  1.0003495537059
188.8,  1.0003485913186
190.0,  1.000347726528
191.3,  1.0003468142462
192.5,  1.0003459940062
193.8,  1.0003451282337
195.0,  1.0003443493811
196.3,  1.0003435268508
197.5,  1.0003427865093
198.8,  1.0003420042473
200.0,  1.0003412997954
201.3,  1.0003405550886
202.5,  1.0003398841327
203.8,  1.0003391745012
205.0,  1.0003385348513
206.3,  1.0003378580241
207.5,  1.0003372476728
208.8,  1.0003366015666
210.0,  1.0003360186706
211.3,  1.0003354013706
212.5,  1.0003348442346
213.8,  1.0003342539782
215.0,  1.0003337210402
216.3,  1.0003331562024
217.5,  1.0003326460213
218.8,  1.0003321051013
220.0,  1.0003316163452
221.3,  1.0003310979554
222.5,  1.0003306293917
223.8,  1.0003301322468
225.0,  1.0003296827334
226.3,  1.0003292056416
227.5,  1.0003287741184
228.8,  1.0003283159731
230.0,  1.0003279014554
231.3,  1.0003274612275
232.5,  1.000327062799
233.8,  1.0003266395308
235.0,  1.000326256338
236.3,  1.0003258491368
237.5,  1.000325480384
238.8,  1.0003250884169
240.0,  1.0003247333611
241.3,  1.0003243558502
242.5,  1.0003240137971
243.8,  1.0003236500148
245.0,  1.0003233203149
246.3,  1.0003229695804
247.5,  1.0003226516252
248.8,  1.0003223133004
250.0,  1.0003220065198
251.3,  1.0003216800064
252.5,  1.0003213838653
253.8,  1.0003210686016
255.0,  1.0003207825974
256.3,  1.0003204780556
257.5,  1.000320201716
258.8,  1.0003199073998
260.0,  1.0003196402803
261.3,  1.0003193557226
262.5,  1.0003190974047
263.8,  1.0003188221654
265.0,  1.0003185722548
266.3,  1.0003183059189
267.5,  1.0003180640436
268.8,  1.0003178062198
270.0,  1.0003175720287
467.9,  1.000301149189
483.8,  1.0003006576234
499.7,  1.0003002140213
515.6,  1.0002998122907
531.5,  1.0002994472838
547.4,  1.0002991146256
563.3,  1.000298810578
579.3,  1.0002985302527
595.2,  1.000298274371
611.1,  1.0002980387061
627.0,  1.0002978211714
642.9,  1.0002976199442
658.8,  1.0002974334262
674.7,  1.000297260211
690.6,  1.0002970990574
706.5,  1.000296948866
722.4,  1.0002968086606
738.3,  1.0002966775716
754.2,  1.0002965548223
770.2,  1.0002964390164
786.1,  1.0002963309743
802.0,  1.0002962293878
817.9,  1.0002961337508
833.8,  1.0002960436064
849.7,  1.0002959585405
865.6,  1.0002958781775
881.5,  1.0002958021762
897.4,  1.0002957302255
913.3,  1.0002956620419
929.2,  1.0002955973664
945.1,  1.0002955359616
961.0,  1.0002954776102
977.0,  1.0002954217722
992.9,  1.000295368961
1009,  1.0002953180326
1025,  1.0002952698005
1041,  1.0002952237943
1056,  1.0002951825647
1072,  1.0002951404957
1088,  1.0002951002836
1104,  1.0002950618205
1120,  1.0002950250062
1136,  1.0002949897477
1152,  1.0002949559584
1168,  1.0002949235577
1184,  1.0002948924703
1200,  1.0002948626261
1216,  1.0002948339596
1231,  1.0002948080999
1247,  1.0002947815444
1263,  1.0002947559977
1279,  1.0002947314091
1295,  1.0002947077313
1311,  1.0002946849199
1327,  1.0002946629329
1343,  1.0002946417312
1359,  1.0002946212776
1375,  1.0002946015374
1391,  1.0002945824778
1406,  1.0002945651999
1422,  1.0002945473722
1438,  1.0002945301389
1454,  1.000294513474
1470,  1.0002944973525
1486,  1.0002944817512
1502,  1.0002944666479
1518,  1.0002944520215
1534,  1.0002944378522
1550,  1.0002944241212
1566,  1.0002944108104
1581,  1.0002943986982
1597,  1.0002943861542
1613,  1.000294373983
1629,  1.0002943621699
1645,  1.000294350701
1661,  1.0002943395631
1677,  1.0002943287434
1693,  1.0002943182301
1709,  1.0002943080116
1725,  1.0002942980771
1741,  1.000294288416
1756,  1.0002942795982
1772,  1.000294270439
1788,  1.0002942615254
1804,  1.0002942528485
1820,  1.0002942444001
1836,  1.0002942361722
1852,  1.0002942281572
1868,  1.0002942203479
1884,  1.0002942127371
1900,  1.0002942053184
1916,  1.0002941980851
1931,  1.0002941914671
1947,  1.0002941845761
1963,  1.0002941778533
1979,  1.0002941712934
1995,  1.000294164891
2011,  1.0002941586411
2027,  1.000294152539
2043,  1.0002941465801
2059,  1.0002941407598
