#MgF2 Reflective index data from 
# 140 nm ~ 7500 nm: https://refractiveindex.info/?shelf=main&book=MgF2&page=Li-o
#
#
#LABEL: Lambda,   Reflective Index
140.0,  1.503424322613
145.7,  1.4886211076878
151.6,  1.4760348184102
157.8,  1.4650807430246
164.2,  1.4556478095315
170.8,  1.4474684684638
177.8,  1.4401397867621
185.0,  1.4337444660296
192.5,  1.4280630605708
200.3,  1.4230049329721
208.5,  1.4184405980642
216.9,  1.4144133189838
225.7,  1.4107669160898
234.9,  1.4074668167692
244.4,  1.4045095934272
254.4,  1.4018034013023
264.7,  1.399375891974
275.5,  1.3971549326199
286.6,  1.3951594695563
298.3,  1.3933181557712
310.4,  1.3916496138095
323.0,  1.3901247165062
336.1,  1.3887316265201
349.8,  1.387450339017
364.0,  1.3862811597667
378.8,  1.3852070367528
394.1,  1.3842269347497
410.1,  1.383321235556
426.8,  1.3824854166927
444.1,  1.3817189546679
462.2,  1.3810083139712
480.9,  1.3803568185783
500.5,  1.3797500960693
520.8,  1.3791910597935
542.0,  1.3786708373441
564.0,  1.3781890013187
586.9,  1.3777404531746
610.7,  1.3773226516459
635.5,  1.3769315731974
661.3,  1.3765651830829
688.2,  1.3762201986406
716.1,  1.3758960146491
745.2,  1.3755885619824
775.5,  1.3752963735019
807.0,  1.375017930162
839.7,  1.3747516942111
873.9,  1.374493954794
909.3,  1.3742456741901
946.3,  1.3740027736186
984.7,  1.3737654004629
1025.,  1.3735293904949
1066.,  1.3733003775052
1110.,  1.3730644847953
1155.,  1.3728314705973
1202.,  1.3725948360375
1250.,  1.3723583505958
1301.,  1.3721110084972
1354.,  1.3718565585498
1409.,  1.3715937360132
1466.,  1.3713212472455
1526.,  1.371032951845
1588.,  1.3707322289362
1652.,  1.3704176722998
1719.,  1.3700828221577
1789.,  1.3697259298747
1862.,  1.369345141989
1937.,  1.3689439282317
2016.,  1.3685095581886
2098.,  1.3680451752931
2183.,  1.3675485551068
2272.,  1.3670112471305
2364.,  1.3664365577474
2460.,  1.365815369073
2560.,  1.365144321667
2664.,  1.3644198745422
2772.,  1.3636383011659
2885.,  1.3627880115892
3002.,  1.361871939257
3124.,  1.3608773967154
3251.,  1.3597987513913
3383.,  1.3586300322509
3520.,  1.3573649116575
3663.,  1.3559868412498
3812.,  1.3544874066516
3967.,  1.3528576211273
4128.,  1.3510878843804
4295.,  1.3491679353
4470.,  1.3470621826524
4651.,  1.3447811623278
4840.,  1.3422850449458
5037.,  1.3395561345565
5242.,  1.336575206365
5454.,  1.3333369973548
5676.,  1.3297717333128
5906.,  1.3258841270052
6146.,  1.3216101561257
6396.,  1.3169136052771
6656.,  1.3117542557778
6926.,  1.3060872953615
7207.,  1.2998397246206
7500.,  1.292926724049
