#Quartz Reflective index data from 
# 160nm ~ 220nm: Calculation from ALICE TDR Equation 2.10
#      n^2 = 46.411 / (10.666 * 10.666 - eng * eng) + 228.71 / (18.125 * 18.125 - eng * eng) + 1; 
#
# 220nm ~ 6700nm https://refractiveindex.info/?shelf=main&book=SiO2&page=Malitson
#
#LABEL: Lambda,   Reflective Index
160, 1.64896,
161, 1.64463,
162, 1.64047,
163, 1.63646,
164, 1.63261,
165, 1.62889,
166, 1.62531,
167, 1.62186,
168, 1.61853,
169, 1.61531,
170, 1.61219,
171, 1.60918,
172, 1.60627,
173, 1.60345,
174, 1.60071,
175, 1.59807,
176, 1.5955,
177, 1.59301,
178, 1.59059,
179, 1.58824,
180, 1.58596,
181, 1.58374,
182, 1.58159,
183, 1.57949,
184, 1.57745,
185, 1.57547,
186, 1.57354,
187, 1.57165,
188, 1.56982,
189, 1.56803,
190, 1.56629,
191, 1.56459,
192, 1.56294,
193, 1.56132,
194, 1.55974,
195, 1.5582,
196, 1.55669,
197, 1.55522,
198, 1.55379,
199, 1.55238,
200, 1.55101,
201, 1.54967,
202, 1.54836,
203, 1.54708,
204, 1.54582,
205, 1.54459,
206, 1.54339,
207, 1.54221,
208, 1.54106,
209, 1.53993,
210, 1.53882,
211, 1.53774,
212, 1.53667,
213, 1.53563,
214, 1.53461,
215, 1.53361,
216, 1.53263,
217, 1.53167,
218, 1.53072,
219, 1.5298,
225.1,  1.5240789072975
233.0,  1.5180417677275
241.2,  1.5125721155558
249.7,  1.5076095872199
258.5,  1.5031009629039
267.6,  1.498999218542
277.0,  1.495262719426
286.8,  1.4918215034661
296.9,  1.488683281387
307.4,  1.4857914366574
318.2,  1.4831504333467
329.4,  1.4807144415912
341.0,  1.4784676522483
353.0,  1.4763951298847
365.5,  1.4744682820342
378.3,  1.4727046797948
391.7,  1.4710525123802
405.5,  1.4695286500209
419.7,  1.4681218218832
434.5,  1.4668048202486
449.8,  1.465580829975
465.7,  1.4644360310913
482.1,  1.4633719346282
499.1,  1.4623764385944
516.7,  1.4614449911601
534.9,  1.4605730794883
553.7,  1.4597562854765
573.2,  1.4589865613939
593.4,  1.4582607881284
614.3,  1.4575758068817
636.0,  1.4569256013294
658.4,  1.4563104080175
681.6,  1.4557246986958
705.6,  1.4551660299221
730.5,  1.4546298754538
756.2,  1.4541161650842
782.9,  1.4536188536247
810.4,  1.4531396102638
839.0,  1.4526712743322
868.6,  1.4522138205731
899.2,  1.4517653834747
930.8,  1.4513240787777
963.6,  1.4508853971281
997.6,  1.450447735732
1033.,  1.4500069615101
1069.,  1.4495710901504
1107.,  1.4491214616538
1146.,  1.448668310738
1186.,  1.4482096590065
1228.,  1.4477322458328
1271.,  1.4472455774929
1316.,  1.4467363524093
1362.,  1.4462138519129
1410.,  1.445664578157
1460.,  1.4450861470109
1512.,  1.4444759883488
1565.,  1.4438434020915
1620.,  1.4431739285381
1677.,  1.4424645759259
1736.,  1.4417121733672
1797.,  1.4409133669095
1861.,  1.4400509385522
1926.,  1.43914806608
1994.,  1.4381729429417
2064.,  1.4371349603433
2137.,  1.4360139618555
2212.,  1.4348196176837
2290.,  1.433529881253
2371.,  1.4321372109342
2454.,  1.4306516985468
2541.,  1.4290287283802
2630.,  1.427296093753
2723.,  1.4254044329951
2819.,  1.4233613684394
2918.,  1.4211544161909
3021.,  1.4187459519934
3128.,  1.416117293379
3238.,  1.4132741569442
3352.,  1.4101696832452
3470.,  1.4067782146466
3592.,  1.4030708962299
3719.,  1.3989819997456
3850.,  1.3945035722002
3986.,  1.3895553417944
4126.,  1.3841208059058
4271.,  1.3780997735118
4422.,  1.3713701305288
4578.,  1.36388143366
4739.,  1.3555262189157
4906.,  1.3461171232165
5079.,  1.3354823573874
5258.,  1.3234105439689
5443.,  1.3096384003386
5635.,  1.2937460280032
5833.,  1.2753723963511
6039.,  1.2537289561387
6252.,  1.2280888354422
6472.,  1.1973256716307
6700.,  1.1596494139777
